order_id,order_date,region,channel,sales_rep,sku,quantity,amount_jpy,cost_jpy,status
ORD-1000,2026-01-01,Tokyo,Online,A. Sato,APL-1001,N/A,"¥39,545",,shipped
ORD-1001,04/08/2026,tokyo ,online,a. sato,APL-1002,10,77220,42814,Shipped
ORD-1002,15 Jul 2026,TOKYO,Retail,M. Tanaka,APL-1003,10,70190,42329, shipped 
ORD-1003,22.10.2026, Osaka,retail ,M. Tanaka ,KNT-2001,2,15568,7191,pending
ORD-1004,2026-01-01,Osaka,Wholesale,K. Yamada,KNT-2002,4,31024,13396,Pending
ORD-1005,04/08/2026,osaka,WHOLESALE,k. yamada,DNM-3001,7,"¥13,867",6024,cancelled
ORD-1006,15 Jul 2026,Yokohama,Online,J. Okafor,DNM-3002,13,95472,55557,shipped
ORD-1007,22.10.2026,yokohama ,online,A. Sato,APL-1001,14,(30548),16607,Shipped
ORD-1008,2026-01-01,Nagoya,Retail,a. sato,APL-1002,9,27207,16282, shipped 
ORD-1009,04/08/2026,Fukuoka,retail ,M. Tanaka,APL-1003,2,13232,,pending
ORD-1010,15 Jul 2026,fukuoka,Wholesale,M. Tanaka ,KNT-2001,3,"¥5,889",3317,Pending
ORD-1011,22.10.2026,Tokyo,WHOLESALE,K. Yamada,KNT-2002,N/A,97706,57014,cancelled
ORD-1012,2026-01-01,tokyo ,Online,k. yamada,DNM-3001,16,100080,42758,shipped
ORD-1013,04/08/2026,TOKYO,online,J. Okafor,DNM-3002,7,18907,10432,Shipped
ORD-1014,15 Jul 2026, Osaka,Retail,A. Sato,APL-1001,7,(25172),14550, shipped 
ORD-1015,22.10.2026,Osaka,retail ,a. sato,APL-1002,6,"¥42,276",22475,pending
ORD-1016,2026-01-01,osaka,Wholesale,M. Tanaka,APL-1003,4,18288,9781,Pending
ORD-1017,04/08/2026,Yokohama,WHOLESALE,M. Tanaka ,KNT-2001,8,28720,16889,cancelled
ORD-1018,15 Jul 2026,yokohama ,Online,K. Yamada,KNT-2002,11,43109,,shipped
